"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","logPVal","Significance","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"ENSMUSG00000005043",213.036489560493,4.07393989423472,0.196164032032864,20.7680269008347,8.42486149769268e-96,1.74099762849819e-91,90.759201820457,"Up-regulated","11",119234251,119246362,-1,"protein_coding","Sgsh","N-sulfoglucosamine sulfohydrolase (sulfamidase) [Source:MGI Symbol;Acc:MGI:1350341]"
"ENSMUSG00000073409",624.447705151264,2.41891684278235,0.13451617273491,17.9823495837136,2.67895673146278e-72,2.76803204278392e-68,67.5578288867862,"Up-regulated","17",35643826,35649031,1,"protein_coding","H2-Q6","histocompatibility 2, Q region locus 6 [Source:MGI Symbol;Acc:MGI:95935]"
"ENSMUSG00000049404",194.764953437335,3.43649724323785,0.197869832543023,17.3674642519882,1.45515980620268e-67,1.00236257983928e-63,62.9989751547759,"Up-regulated","3",67386305,67422856,-1,"protein_coding","Rarres1","retinoic acid receptor responder (tazarotene induced) 1 [Source:MGI Symbol;Acc:MGI:1924461]"
"ENSMUSG00000035929",1559.9524445996,1.31401037560495,0.0825545593412511,15.9168722610861,4.83973041190083e-57,2.50032572404827e-53,52.6020034109511,"Up-regulated","17",35598593,35604266,1,"protein_coding","H2-Q4","histocompatibility 2, Q region locus 4 [Source:MGI Symbol;Acc:MGI:95933]"
"ENSMUSG00000027199",361.662538295588,3.17779504211894,0.199984216728748,15.8902292095841,7.40562937535465e-57,3.06074662083408e-53,52.5141726213103,"Up-regulated","2",122424948,122441784,-1,"protein_coding","Gatm","glycine amidinotransferase (L-arginine:glycine amidinotransferase) [Source:MGI Symbol;Acc:MGI:1914342]"
"ENSMUSG00000020077",1662.2024078304,1.84278033468451,0.117560485995475,15.6751677154128,2.2363393261607e-55,7.70232536251847e-52,51.1133781398081,"Up-regulated","10",62329612,62363230,-1,"protein_coding","Srgn","serglycin [Source:MGI Symbol;Acc:MGI:97756]"
"ENSMUSG00000067235",487.966082704774,4.27981036669102,0.279150770407477,15.3315370057685,4.70715253708464e-53,1.38961867398363e-49,48.8571043583825,"Up-regulated","17",35780986,35785460,1,"protein_coding","H2-Q10","histocompatibility 2, Q region locus 10 [Source:MGI Symbol;Acc:MGI:95929]"
"ENSMUSG00000041992",183.233350012031,4.39782084198495,0.294244345892853,14.946152418461,1.65011640653889e-50,3.78885061568069e-47,46.4214925174657,"Up-regulated","12",117480099,117723472,1,"protein_coding","Rapgef5","Rap guanine nucleotide exchange factor (GEF) 5 [Source:MGI Symbol;Acc:MGI:2444365]"
"ENSMUSG00000070713",270.139723953395,2.88667529082669,0.193438609923258,14.9229530338949,2.3369766020165e-50,4.8293621480671e-47,46.3161102261569,"Up-regulated","8",73057954,73059104,-1,"protein_coding","Hmgn2-ps","high mobility group nucleosomal binding domain 2, pseudogene [Source:MGI Symbol;Acc:MGI:3704312]"
"ENSMUSG00000098188",1977.38393221142,-1.43296986280502,0.099343992623788,-14.4243232525556,3.63820933891405e-47,6.83487236260536e-44,43.1652695912255,"Down-regulated","10",59057775,59062256,1,"protein_coding","Sowahc","sosondowah ankyrin repeat domain family member C [Source:MGI Symbol;Acc:MGI:3606051]"
"ENSMUSG00000037266",5029.12755210128,-1.39553999860926,0.0970976289522629,-14.3725445581721,7.69511708296098e-47,1.32516328766157e-43,42.8777306043226,"Down-regulated","4",134650903,134654982,1,"protein_coding","Rsrp1","arginine/serine rich protein 1 [Source:MGI Symbol;Acc:MGI:106498]"
"ENSMUSG00000024677",118.378817203614,3.05109197706176,0.215113146703291,14.183661128207,1.15651965408644e-45,1.83842143474587e-42,41.7355549250474,"Up-regulated","19",11493876,11508620,1,"protein_coding","Ms4a6b","membrane-spanning 4-domains, subfamily A, member 6B [Source:MGI Symbol;Acc:MGI:1917024]"
"ENSMUSG00000002100",161.500009676304,2.1605797488887,0.154617368762514,13.9737195515677,2.25533386001633e-44,3.32903387265982e-41,40.4776817859084,"Up-regulated","2",90948489,90966861,1,"protein_coding","Mybpc3","myosin binding protein C, cardiac [Source:MGI Symbol;Acc:MGI:102844]"
"ENSMUSG00000052056",1758.56580820728,-1.14786405980875,0.0844060371547968,-13.5993123063415,4.04216248755212e-42,5.56875252035097e-39,38.2542420820625,"Down-regulated","2",169950563,169990023,-1,"protein_coding","Zfp217","zinc finger protein 217 [Source:MGI Symbol;Acc:MGI:2685408]"
"ENSMUSG00000028680",3804.77783895762,1.96349576103552,0.145421216004132,13.5021272341701,1.51925230751152e-41,1.96220930842034e-38,37.7072546683916,"Up-regulated","4",116985852,116991160,-1,"protein_coding","Plk3","polo like kinase 3 [Source:MGI Symbol;Acc:MGI:109604]"
"ENSMUSG00000024732",1894.49745921143,1.35693456502919,0.101344369173935,13.3893434444326,6.97949865181501e-41,8.48419644939748e-38,37.0713892840615,"Up-regulated","19",10918845,10926630,-1,"protein_coding","Ccdc86","coiled-coil domain containing 86 [Source:MGI Symbol;Acc:MGI:1277220]"
"ENSMUSG00000029449",803.701928634358,1.35768538097027,0.101605935238706,13.3622644954806,1.00460774081493e-40,1.1533454979967e-37,36.9380405752752,"Up-regulated","5",123241107,123270755,-1,"protein_coding","Rhof","ras homolog family member F (in filopodia) [Source:MGI Symbol;Acc:MGI:1345629]"
"ENSMUSG00000027285",751.486172611801,1.68038975663,0.12719953295661,13.2106598001678,7.61539627677745e-40,8.28274547682137e-37,36.0818256840124,"Up-regulated","2",120439864,120452041,1,"protein_coding","Haus2","HAUS augmin-like complex, subunit 2 [Source:MGI Symbol;Acc:MGI:1913546]"
"ENSMUSG00000044066",692.248344713143,-1.36365479603755,0.105200236977541,-12.9624688614406,1.99714587532851e-38,1.87595543243926e-35,34.7267774834813,"Down-regulated","11",20177037,20199429,-1,"protein_coding","Cep68","centrosomal protein 68 [Source:MGI Symbol;Acc:MGI:2667663]"
"ENSMUSG00000116972",82.350188306568,5.16902991613569,0.401115662587141,12.8866319574662,5.35310318643277e-38,4.80964684120145e-35,34.317886811474,"Up-regulated","16",85441140,85441911,1,"processed_pseudogene","Gm6278","predicted gene 6278 [Source:MGI Symbol;Acc:MGI:3644862]"
"ENSMUSG00000045038",169.231245263844,2.41413123727073,0.188432571845324,12.8116451080039,1.41110779363821e-37,1.21502260648057e-34,33.9154156415896,"Up-regulated","17",86475213,86965347,1,"protein_coding","Prkce","protein kinase C, epsilon [Source:MGI Symbol;Acc:MGI:97599]"
"ENSMUSG00000069117",526.566029747112,12.8532657837421,1.0262516042004,12.524478140774,5.48509383654908e-36,4.53397856529147e-33,32.3435205373629,"Up-regulated","13",97896580,97897140,-1,"protein_coding","Rps18-ps6","ribosomal protein S18, pseudogene 6 [Source:MGI Symbol;Acc:MGI:3642298]"
"ENSMUSG00000048142",159.687904170566,2.21011385278751,0.178741026526528,12.3648940354468,4.0474471279902e-35,3.21694211153528e-32,31.4925567541018,"Up-regulated","5",34153328,34163260,1,"protein_coding","Nat8l","N-acetyltransferase 8-like [Source:MGI Symbol;Acc:MGI:2447776]"
"ENSMUSG00000021767",1686.64386610879,2.43879872414984,0.197609848600817,12.3414836933373,5.41487472874794e-35,4.14438467665097e-32,31.3825399407162,"Up-regulated","14",21531502,21722546,1,"protein_coding","Kat6b","K(lysine) acetyltransferase 6B [Source:MGI Symbol;Acc:MGI:1858746]"
"ENSMUSG00000030539",729.333261941073,1.48287000975135,0.124466653208763,11.9137935464867,1.00307583544164e-32,7.14778004806949e-30,29.1458288200975,"Up-regulated","7",79836589,79876275,1,"protein_coding","Sema4b","sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B [Source:MGI Symbol;Acc:MGI:107559]"
"ENSMUSG00000020644",3094.43958675734,2.57884613730144,0.217664057337359,11.8478271922703,2.20842854411774e-32,1.5212391954731e-29,28.8178024933062,"Up-regulated","12",25143798,25147139,-1,"protein_coding","Id2","inhibitor of DNA binding 2 [Source:MGI Symbol;Acc:MGI:96397]"
"ENSMUSG00000106734",982.945680070489,-1.11650924148167,0.0967227988892575,-11.5433926055016,7.97178201535267e-31,5.14802735460197e-28,27.2883591540907,"Down-regulated","6",3333191,3346128,-1,"lncRNA","Gm20559","predicted gene, 20559 [Source:MGI Symbol;Acc:MGI:5295666]"
"ENSMUSG00000113061",236.979117390935,11.7001483023085,1.03679641567229,11.2849042738267,1.55811108095351e-29,8.97902851540545e-27,26.0467706492149,"Up-regulated","13",28441511,28442117,1,"protein_coding","Rps18-ps5","ribosomal protein S18, pseudogene 5 [Source:MGI Symbol;Acc:MGI:3649931]"
"ENSMUSG00000121352",143.236960632016,2.22029872562267,0.196755445939762,11.2845604604125,1.56421498453712e-29,8.97902851540545e-27,26.0467706492149,"Up-regulated","7",3863680,3872151,-1,"lncRNA","","novel transcript"
"ENSMUSG00000021508",276.016532928352,1.9118167134662,0.169722662853565,11.2643572833623,1.96782481240575e-29,1.09905674995581e-26,25.9589798821385,"Up-regulated","13",56436456,56444364,-1,"protein_coding","Cxcl14","chemokine (C-X-C motif) ligand 14 [Source:MGI Symbol;Acc:MGI:1888514]"
"ENSMUSG00000028413",6698.62869119879,1.27102227963928,0.113931511771899,11.1560204887299,6.69205427245875e-29,3.54593080872718e-26,25.4502697429825,"Up-regulated","4",40804602,40854005,-1,"protein_coding","B4galt1","UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1 [Source:MGI Symbol;Acc:MGI:95705]"
"ENSMUSG00000018476",1660.70418062964,1.32852951284269,0.119759340951432,11.0933268527377,1.35165532137117e-28,6.98298930403382e-26,25.1559586231749,"Up-regulated","11",69289334,69304501,-1,"protein_coding","Kdm6b","KDM1 lysine (K)-specific demethylase 6B [Source:MGI Symbol;Acc:MGI:2448492]"
"ENSMUSG00000042354",1290.16177054332,1.45942425618111,0.132132988398744,11.0451165440756,2.31467109213121e-28,1.16665068582662e-25,24.9330591593164,"Up-regulated","14",30734390,30741109,-1,"protein_coding","Gnl3","guanine nucleotide binding protein-like 3 (nucleolar) [Source:MGI Symbol;Acc:MGI:1353651]"
"ENSMUSG00000030208",2234.46284533428,1.34748105002151,0.123446702958868,10.9154883664287,9.72054481704659e-28,4.67151299172716e-25,24.3305424390185,"Up-regulated","6",135339543,135360171,1,"protein_coding","Emp1","epithelial membrane protein 1 [Source:MGI Symbol;Acc:MGI:107941]"
"ENSMUSG00000045763",395.655842811699,2.91513662460596,0.268499339501924,10.8571463528128,1.84422405253381e-27,8.66156591945708e-25,24.062403585038,"Up-regulated","15",25363363,25413850,-1,"protein_coding","Basp1","brain abundant, membrane attached signal protein 1 [Source:MGI Symbol;Acc:MGI:1917600]"
"ENSMUSG00000040479",3985.63467004095,1.30230912114262,0.121045671197876,10.7588244028464,5.38527594848177e-27,2.4192766842473e-24,23.6163144600506,"Up-regulated","2",91763169,91806209,-1,"protein_coding","Dgkz","diacylglycerol kinase zeta [Source:MGI Symbol;Acc:MGI:1278339]"
"ENSMUSG00000044783",3661.13231249954,-1.41160640286539,0.133412648393069,-10.5807539230195,3.66001197326904e-26,1.60923717931074e-23,22.7933799421815,"Down-regulated","1",88190193,88205355,-1,"protein_coding","Hjurp","Holliday junction recognition protein [Source:MGI Symbol;Acc:MGI:2685821]"
"ENSMUSG00000054720",752.703231767991,1.39489931098363,0.132004877151994,10.5670285907505,4.23707166415198e-26,1.80406816635409e-23,22.7437470567541,"Up-regulated","5",105667254,105760884,1,"protein_coding","Lrrc8c","leucine rich repeat containing 8 family, member C [Source:MGI Symbol;Acc:MGI:2140839]"
"ENSMUSG00000091957",2304.80918689229,3.99942963302699,0.378514048270713,10.56613262123,4.27773240509802e-26,1.80406816635409e-23,22.7437470567541,"Up-regulated","18",61392079,61393059,-1,"transcribed_processed_pseudogene","Rps2-ps10","ribosomal protein S2, pseudogene 10 [Source:MGI Symbol;Acc:MGI:3645604]"
"ENSMUSG00000055866",1043.5885774072,2.07219043053877,0.197182258906452,10.509010506477,7.85129695622161e-26,3.24494103200639e-23,22.4887931909151,"Up-regulated","1",91343704,91387046,-1,"protein_coding","Per2","period circadian clock 2 [Source:MGI Symbol;Acc:MGI:1195265]"
"ENSMUSG00000027555",195.161287234714,1.48822415624775,0.141773838358091,10.4971705180811,8.90081568908725e-26,3.60657561205859e-23,22.4429049583705,"Up-regulated","3",14706787,14728062,1,"protein_coding","Car13","carbonic anhydrase 13 [Source:MGI Symbol;Acc:MGI:1931322]"
"ENSMUSG00000015745",359.087035003805,1.71376286822854,0.164035793437913,10.4474933934294,1.50449007978105e-25,5.97890144205298e-23,22.2233786055572,"Up-regulated","3",95895741,95903313,-1,"protein_coding","Plekho1","pleckstrin homology domain containing, family O member 1 [Source:MGI Symbol;Acc:MGI:1914470]"
"ENSMUSG00000036875",1436.84610463977,-1.07688813371359,0.103332097843077,-10.4216226728406,1.97553512041666e-25,7.7027232572472e-23,22.1133557051518,"Down-regulated","10",62782805,62809964,1,"protein_coding","Dna2","DNA replication helicase/nuclease 2 [Source:MGI Symbol;Acc:MGI:2443732]"
"ENSMUSG00000032014",405.567591934381,1.70152482737725,0.163823911540865,10.3863032653375,2.86232980953303e-25,1.09537121322222e-22,21.9604386766837,"Up-regulated","9",43132532,43151208,-1,"protein_coding","Oaf","out at first homolog [Source:MGI Symbol;Acc:MGI:94852]"
"ENSMUSG00000000982",467.833460561854,2.78100496271095,0.269250199626818,10.3287015815232,5.22632157020544e-25,1.96367154996901e-22,21.7069311519691,"Up-regulated","11",83538670,83540181,-1,"protein_coding","Ccl3","chemokine (C-C motif) ligand 3 [Source:MGI Symbol;Acc:MGI:98260]"
"ENSMUSG00000008348",33099.2573660361,1.12742718559752,0.110128346646428,10.2373931864898,1.34819977196709e-24,4.97509790851784e-22,21.3031983680417,"Up-regulated","5",125463029,125467266,-1,"protein_coding","Ubc","ubiquitin C [Source:MGI Symbol;Acc:MGI:98889]"
"ENSMUSG00000067591",48.2269150328336,5.42461195301227,0.531614031947438,10.2040420813208,1.90188565177277e-24,6.89516964804988e-22,21.1614550440196,"Up-regulated","6",130300252,130314537,-1,"protein_coding","Klra3","killer cell lectin-like receptor, subfamily A, member 3 [Source:MGI Symbol;Acc:MGI:101905]"
"ENSMUSG00000000244",728.203024535042,-1.16022260341792,0.114075807095732,-10.1706280495062,2.6817387685799e-24,9.55485028494889e-22,21.0197761135205,"Down-regulated","7",142558783,142573381,1,"protein_coding","Tspan32","tetraspanin 32 [Source:MGI Symbol;Acc:MGI:1350360]"
"ENSMUSG00000063953",52.9603208348207,3.45944675021549,0.340911477700003,10.1476394211044,3.39475270421514e-24,1.18902651919671e-21,20.9248084590799,"Up-regulated","10",35584671,35587888,-1,"protein_coding","Amd2","S-adenosylmethionine decarboxylase 2 [Source:MGI Symbol;Acc:MGI:1333111]"
"ENSMUSG00000006360",1497.0815401018,1.91952267913813,0.189307631007534,10.1397004913222,3.68226822283975e-24,1.26823454708306e-21,20.8968004206782,"Up-regulated","12",113109936,113117499,1,"protein_coding","Crip1","cysteine-rich protein 1 (intestinal) [Source:MGI Symbol;Acc:MGI:88501]"
